Size;C time;Python time
1;0.0036079883575439453;3.814697265625e-06
2;0.0034897327423095703;3.814697265625e-06
4;0.0026938915252685547;1.0967254638671875e-05
8;0.004082202911376953;2.193450927734375e-05
16;0.0028312206268310547;3.314018249511719e-05
32;0.0031731128692626953;9.584426879882812e-05
64;0.002605915069580078;0.00037217140197753906
128;0.0031549930572509766;0.001439809799194336
256;0.0030562877655029297;0.006660938262939453
512;0.004380941390991211;0.027739286422729492
1024;0.00440669059753418;0.08496880531311035
2048;0.009407997131347656;0.3572700023651123
4096;0.03868699073791504;1.3045740127563477
8192;0.1283876895904541;4.858428955078125
16384;0.3987851142883301;18.592221975326538
32768;1.720034122467041;81.56968927383423
65536;7.761588096618652;402.0783739089966
