Size;C time_Gnomesort;Python time_Gnomesort;C time_Timsort;Python time_Timsort
1;0.0036079883575439;3.814697265625e-06;3e-06;2.002716064453125e-05
2;0.0034897327423095;3.814697265625e-06;3e-06;1.6927719116210938e-05
4;0.0026938915252685;1.0967254638671877e-05;2e-06;2.09808349609375e-05
8;0.0040822029113769;2.193450927734375e-05;4e-06;8.177757263183594e-05
16;0.002831220626831;3.314018249511719e-05;3e-06;3.409385681152344e-05
32;0.0031731128692626;9.584426879882812e-05;5e-06;6.604194641113281e-05
64;0.00260591506958;0.0003721714019775;1.1e-05;0.0002639293670654
128;0.0031549930572509;0.0014398097991943;2e-05;0.0006182193756103
256;0.0030562877655029;0.0066609382629394;5e-05;0.0005402565002441
512;0.0043809413909912;0.0277392864227294;9e-05;0.001260757446289
1024;0.0044066905975341;0.0849688053131103;0.000196;0.0027310848236083
2048;0.0094079971313476;0.3572700023651123;0.000372;0.0068049430847167
4096;0.038686990737915;1.3045740127563477;0.000811;0.0147640705108642
8192;0.1283876895904541;4.858428955078125;0.001591;0.0282061100006103
16384;0.3987851142883301;18.592221975326535;0.003476;0.0573091506958007
32768;1.720034122467041;81.56968927383423;0.00629;0.1478898525238037
65536;7.761588096618652;402.0783739089966;0.012788;0.2414169311523437
131072;;;0.028925;0.5135059356689453
262144;;;0.055916;1.1155850887298584
524288;;;0.111155;2.066522121429444
1048576;;;0.219976;4.41825795173645
2097152;;;0.491725;10.389513969421388
4194304;;;0.954912;19.741071939468384
8388608;;;2.145837;41.55577111244202
16777216;;;4.062533;86.10627794265747
33554432;;;8.169145;179.5933849811554
67108864;;;16.881771;361.8881530761719
